agency_cd	site_no	datetime	discharge	approval
USGS	02292000	1985-10-01	5.00	A
USGS	02292000	1985-10-02	5.00	A
USGS	02292000	1985-10-03	5.00	A
USGS	02292000	1985-10-04	5.00	A
USGS	02292000	1985-10-05	5.00	A
USGS	02292000	1985-10-06	5.00	A
USGS	02292000	1985-10-07	5.00	A
USGS	02292000	1985-10-08	5.00	A
USGS	02292000	1985-10-09	5.00	A
USGS	02292000	1985-10-10	5.00	A
USGS	02292000	1985-10-11	5.00	A
USGS	02292000	1985-10-12	5.00	A
USGS	02292000	1985-10-13	5.00	A
USGS	02292000	1985-10-14	5.00	A
USGS	02292000	1985-10-15	5.00	A
USGS	02292000	1985-10-16	5.00	A
USGS	02292000	1985-10-17	5.00	A
USGS	02292000	1985-10-18	5.00	A
USGS	02292000	1985-10-19	5.00	A
USGS	02292000	1985-10-20	5.00	A
USGS	02292000	1985-10-21	5.00	A
USGS	02292000	1985-10-22	5.00	A
USGS	02292000	1985-10-23	5.00	A
USGS	02292000	1985-10-24	5.00	A
USGS	02292000	1985-10-25	5.00	A
USGS	02292000	1985-10-26	5.00	A
USGS	02292000	1985-10-27	5.00	A
USGS	02292000	1985-10-28	5.00	A
USGS	02292000	1985-10-29	5.00	A
USGS	02292000	1985-10-30	5.00	A
USGS	02292000	1985-10-31	5.00	A
USGS	02292000	1985-11-01	5.00	A
USGS	02292000	1985-11-02	5.00	A
USGS	02292000	1985-11-03	5.00	A
USGS	02292000	1985-11-04	5.00	A
USGS	02292000	1985-11-05	5.00	A
USGS	02292000	1985-11-06	131	A
USGS	02292000	1985-11-07	341	A
USGS	02292000	1985-11-08	125	A
USGS	02292000	1985-11-09	5.00	A
USGS	02292000	1985-11-10	5.00	A
USGS	02292000	1985-11-11	164	A
USGS	02292000	1985-11-12	643	A
USGS	02292000	1985-11-13	657	A
USGS	02292000	1985-11-14	342	A
USGS	02292000	1985-11-15	341	A
USGS	02292000	1985-11-16	340	A
USGS	02292000	1985-11-17	338	A
USGS	02292000	1985-11-18	348	A
USGS	02292000	1985-11-19	115	A
USGS	02292000	1985-11-20	5.00	A
USGS	02292000	1985-11-21	5.00	A
USGS	02292000	1985-11-22	5.00	A
USGS	02292000	1985-11-23	5.00	A
USGS	02292000	1985-11-24	5.00	A
USGS	02292000	1985-11-25	5.00	A
USGS	02292000	1985-11-26	5.00	A
USGS	02292000	1985-11-27	5.00	A
USGS	02292000	1985-11-28	276	A
USGS	02292000	1985-11-29	407	A
USGS	02292000	1985-11-30	407	A
USGS	02292000	1985-12-01	390	A
USGS	02292000	1985-12-02	212	A
USGS	02292000	1985-12-03	5.00	A
USGS	02292000	1985-12-04	205	A
USGS	02292000	1985-12-05	230	A
USGS	02292000	1985-12-06	5.00	A
USGS	02292000	1985-12-07	5.00	A
USGS	02292000	1985-12-08	5.00	A
USGS	02292000	1985-12-09	5.00	A
USGS	02292000	1985-12-10	5.00	A
USGS	02292000	1985-12-11	5.00	A
USGS	02292000	1985-12-12	5.00	A
USGS	02292000	1985-12-13	5.00	A
USGS	02292000	1985-12-14	206	A
USGS	02292000	1985-12-15	400	A
USGS	02292000	1985-12-16	394	A
USGS	02292000	1985-12-17	390	A
USGS	02292000	1985-12-18	248	A
USGS	02292000	1985-12-19	5.00	A
USGS	02292000	1985-12-20	5.00	A
USGS	02292000	1985-12-21	5.00	A
USGS	02292000	1985-12-22	5.00	A
USGS	02292000	1985-12-23	189	A
USGS	02292000	1985-12-24	315	A
USGS	02292000	1985-12-25	529	A
USGS	02292000	1985-12-26	757	A
USGS	02292000	1985-12-27	848	A
USGS	02292000	1985-12-28	150	A
USGS	02292000	1985-12-29	5.00	A
USGS	02292000	1985-12-30	5.00	A
USGS	02292000	1985-12-31	5.00	A
USGS	02292000	1986-01-01	5.00	A
USGS	02292000	1986-01-02	5.00	A
USGS	02292000	1986-01-03	5.00	A
USGS	02292000	1986-01-04	5.00	A
USGS	02292000	1986-01-05	5.00	A
USGS	02292000	1986-01-06	5.00	A
USGS	02292000	1986-01-07	5.00	A
USGS	02292000	1986-01-08	5.00	A
USGS	02292000	1986-01-09	5.00	A
USGS	02292000	1986-01-10	5.00	A
USGS	02292000	1986-01-11	5.00	A
USGS	02292000	1986-01-12	5.00	A
USGS	02292000	1986-01-13	5.00	A
USGS	02292000	1986-01-14	5.00	A
USGS	02292000	1986-01-15	5.00	A
USGS	02292000	1986-01-16	5.00	A
USGS	02292000	1986-01-17	5.00	A
USGS	02292000	1986-01-18	5.00	A
USGS	02292000	1986-01-19	5.00	A
USGS	02292000	1986-01-20	5.00	A
USGS	02292000	1986-01-21	5.00	A
USGS	02292000	1986-01-22	5.00	A
USGS	02292000	1986-01-23	5.00	A
USGS	02292000	1986-01-24	5.00	A
USGS	02292000	1986-01-25	5.00	A
USGS	02292000	1986-01-26	5.00	A
USGS	02292000	1986-01-27	473	A
USGS	02292000	1986-01-28	1190	A
USGS	02292000	1986-01-29	517	A
USGS	02292000	1986-01-30	5.00	A
USGS	02292000	1986-01-31	5.00	A
USGS	02292000	1986-02-01	5.00	A
USGS	02292000	1986-02-02	5.00	A
USGS	02292000	1986-02-03	5.00	A
USGS	02292000	1986-02-04	5.00	A
USGS	02292000	1986-02-05	5.00	A
USGS	02292000	1986-02-06	5.00	A
USGS	02292000	1986-02-07	5.00	A
USGS	02292000	1986-02-08	269	A
USGS	02292000	1986-02-09	405	A
USGS	02292000	1986-02-10	398	A
USGS	02292000	1986-02-11	383	A
USGS	02292000	1986-02-12	380	A
USGS	02292000	1986-02-13	123	A
USGS	02292000	1986-02-14	5.00	A
USGS	02292000	1986-02-15	5.00	A
USGS	02292000	1986-02-16	5.00	A
USGS	02292000	1986-02-17	5.00	A
USGS	02292000	1986-02-18	5.00	A
USGS	02292000	1986-02-19	5.00	A
USGS	02292000	1986-02-20	5.00	A
USGS	02292000	1986-02-21	5.00	A
USGS	02292000	1986-02-22	5.00	A
USGS	02292000	1986-02-23	5.00	A
USGS	02292000	1986-02-24	5.00	A
USGS	02292000	1986-02-25	5.00	A
USGS	02292000	1986-02-26	5.00	A
USGS	02292000	1986-02-27	55.0	A
USGS	02292000	1986-02-28	409	A
USGS	02292000	1986-03-01	166	A
USGS	02292000	1986-03-02	5.00	A
USGS	02292000	1986-03-03	5.00	A
USGS	02292000	1986-03-04	5.00	A
USGS	02292000	1986-03-05	2530	A
USGS	02292000	1986-03-06	2060	A
USGS	02292000	1986-03-07	5.00	A
USGS	02292000	1986-03-08	5.00	A
USGS	02292000	1986-03-09	5.00	A
USGS	02292000	1986-03-10	5.00	A
USGS	02292000	1986-03-11	5.00	A
USGS	02292000	1986-03-12	5.00	A
USGS	02292000	1986-03-13	5.00	A
USGS	02292000	1986-03-14	5.00	A
USGS	02292000	1986-03-15	5.00	A
USGS	02292000	1986-03-16	5.00	A
USGS	02292000	1986-03-17	5.00	A
USGS	02292000	1986-03-18	5.00	A
USGS	02292000	1986-03-19	5.00	A
USGS	02292000	1986-03-20	5.00	A
USGS	02292000	1986-03-21	5.00	A
USGS	02292000	1986-03-22	5.00	A
USGS	02292000	1986-03-23	5.00	A
USGS	02292000	1986-03-24	5.00	A
USGS	02292000	1986-03-25	5.00	A
USGS	02292000	1986-03-26	54.0	A
USGS	02292000	1986-03-27	5.00	A
USGS	02292000	1986-03-28	5.00	A
USGS	02292000	1986-03-29	5.00	A
USGS	02292000	1986-03-30	5.00	A
USGS	02292000	1986-03-31	5.00	A
USGS	02292000	1986-04-01	5.00	A
USGS	02292000	1986-04-02	5.00	A
USGS	02292000	1986-04-03	5.00	A
USGS	02292000	1986-04-04	269	A
USGS	02292000	1986-04-05	432	A
USGS	02292000	1986-04-06	427	A
USGS	02292000	1986-04-07	406	A
USGS	02292000	1986-04-08	383	A
USGS	02292000	1986-04-09	367	A
USGS	02292000	1986-04-10	393	A
USGS	02292000	1986-04-11	396	A
USGS	02292000	1986-04-12	404	A
USGS	02292000	1986-04-13	396	A
USGS	02292000	1986-04-14	325	A
USGS	02292000	1986-04-15	5.00	A
USGS	02292000	1986-04-16	5.00	A
USGS	02292000	1986-04-17	423	A
USGS	02292000	1986-04-18	809	A
USGS	02292000	1986-04-19	944	A
USGS	02292000	1986-04-20	377	A
USGS	02292000	1986-04-21	363	A
