agency_cd	site_no	datetime	discharge	approval
USGS	02274325	2004-08-12	10.2	A
USGS	02274325	2004-08-13	11.4	A
USGS	02274325	2004-08-14	78.6	A
USGS	02274325	2004-08-15	239	A
USGS	02274325	2004-08-16	173	A
USGS	02274325	2004-08-17	133	A
USGS	02274325	2004-08-18	135	A
USGS	02274325	2004-08-19	162	A
USGS	02274325	2004-08-20	124	A
USGS	02274325	2004-08-21	79.5	A
USGS	02274325	2004-08-22	74.8	A
USGS	02274325	2004-08-23	122	A
USGS	02274325	2004-08-24	217	A
USGS	02274325	2004-08-25	190	A
USGS	02274325	2004-08-26	219	A
USGS	02274325	2004-08-27	133	A
USGS	02274325	2004-08-28	165	A
USGS	02274325	2004-08-29	80.7	A
USGS	02274325	2004-08-30	65.6	A
USGS	02274325	2004-08-31	62.0	A
USGS	02274325	2004-09-01	82.0	A
USGS	02274325	2004-09-02	75.5	A
USGS	02274325	2004-09-03	45.4	A
USGS	02274325	2004-09-04	169	A
USGS	02274325	2004-09-05	924	A
USGS	02274325	2004-09-06	1870	A
USGS	02274325	2004-09-07	1680	A
USGS	02274325	2004-09-08	1330	A
USGS	02274325	2004-09-09	359	A
USGS	02274325	2004-09-10	196	A
USGS	02274325	2004-09-11	124	A
USGS	02274325	2004-09-12	134	A
USGS	02274325	2004-09-13	130	A
USGS	02274325	2004-09-14	126	A
USGS	02274325	2004-09-15	104	A
USGS	02274325	2004-09-16	91.7	A
USGS	02274325	2004-09-17	102	A
USGS	02274325	2004-09-18	91.9	A
USGS	02274325	2004-09-19	81.8	A
USGS	02274325	2004-09-20	113	A
USGS	02274325	2004-09-21	659	A
USGS	02274325	2004-09-22	940	A
USGS	02274325	2004-09-23	755	A
USGS	02274325	2004-09-24	363	A
USGS	02274325	2004-09-25	249	A
USGS	02274325	2004-09-26	1180	A
USGS	02274325	2004-09-27	1840	A
USGS	02274325	2004-09-28	1610	A
USGS	02274325	2004-09-29	1220	A
USGS	02274325	2004-09-30	549	A
USGS	02274325	2004-10-01	382	A
USGS	02274325	2004-10-02	255	A
USGS	02274325	2004-10-03	186	A
USGS	02274325	2004-10-04	146	A
USGS	02274325	2004-10-05	125	A
USGS	02274325	2004-10-06	101	A
USGS	02274325	2004-10-07	78.0	A
USGS	02274325	2004-10-08	66.8	A
USGS	02274325	2004-10-09	59.2	A
USGS	02274325	2004-10-10	51.9	A
USGS	02274325	2004-10-11	39.7	A
USGS	02274325	2004-10-12	38.5	A
USGS	02274325	2004-10-13	36.0	A
USGS	02274325	2004-10-14	29.8	A
USGS	02274325	2004-10-15	26.2	A
USGS	02274325	2004-10-16	21.2	A
USGS	02274325	2004-10-17	27.4	A
USGS	02274325	2004-10-18	22.4	A
USGS	02274325	2004-10-19	25.0	A
USGS	02274325	2004-10-20	24.1	A
