DataSourceName	DataSourceCode	StationID	ActualStationID	Latitude_DD	Longitude_DD	SampleDate	SampleTime	ActivityDepth	ActivityDepthUnit	Characteristic	ResultValue	ResultUnit	ValueQualifier	ResultComment	WaterbodyID	WaterbodyName
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020002       		26.71555600	-81.76138900	12/05/1972	00:00:00			Nitrogen	1280.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020009       		26.56027800	-81.93000000	12/05/1972	00:00:00			Nitrogen	1450.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020019       		26.72305600	-81.69083300	12/05/1972	00:00:00			Nitrogen	1260.00000000	ug/l		FCCDR Calculated	300081	Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020002       		26.71555600	-81.76138900	03/07/1973	00:00:00			Nitrogen	1770.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020009       		26.56027800	-81.93000000	03/07/1973	00:00:00			Nitrogen	590.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020019       		26.72305600	-81.69083300	03/07/1973	00:00:00			Nitrogen	1860.00000000	ug/l		FCCDR Calculated	300081	Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020001       		26.65027800	-81.86944400	02/03/1971	00:00:00			Nitrogen	330.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020002       		26.71555600	-81.76138900	02/03/1971	00:00:00			Nitrogen	470.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020110       		26.70055600	-81.78111100	04/17/1973	00:00:00			Nitrogen	1390.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020019       		26.72305600	-81.69083300	07/24/1973	00:00:00			Nitrogen	1860.00000000	ug/l		FCCDR Calculated	300081	Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020002       		26.71555600	-81.76138900	09/18/1973	00:00:00			Nitrogen	710.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020110       		26.70055600	-81.78111100	08/21/1973	00:00:00			Nitrogen	1640.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020129       		26.59111100	-81.90083300	10/16/1973	00:00:00			Nitrogen	2200.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020002       		26.71555600	-81.76138900	11/13/1973	00:00:00			Nitrogen	1670.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020127       		26.52638900	-81.99944400	11/19/1973	00:00:00			Nitrogen	500.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020129       		26.59111100	-81.90083300	11/19/1973	00:00:00			Nitrogen	1540.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020002       		26.71555600	-81.76138900	12/18/1973	00:00:00			Nitrogen	1220.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020002       		26.71555600	-81.76138900	10/01/1973	00:00:00			Nitrogen	1330.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
