DataSourceName	DataSourceCode	StationID	ActualStationID	Latitude_DD	Longitude_DD	SampleDate	SampleTime	ActivityDepth	ActivityDepthUnit	Characteristic	ResultValue	ResultUnit	ValueQualifier	ResultComment	WaterbodyID	WaterbodyName
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	339		26.50893832	-81.99165980	05/30/2002	00:00:00	0		Phosphorus as P	50.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	386		26.52560629	-81.99166059	06/27/2002	00:00:00	0		Phosphorus as P	120.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	386		26.52560629	-81.99166059	06/27/2002	00:00:00	0		Phosphorus as P	130.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	386		26.52560629	-81.99166059	09/30/2002	00:00:00	0		Phosphorus as P	90.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	387		26.52560701	-81.97499512	05/18/2004	00:00:00	0		Phosphorus as P	62.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	387		26.52560701	-81.97499512	05/18/2004	00:00:00	0		Phosphorus as P	70.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	388		26.52560778	-81.95832961	06/27/2002	00:00:00	0		Phosphorus as P	150.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	388		26.52560778	-81.95832961	09/12/2005	00:00:00	0		Phosphorus as P	100.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	389		26.52560853	-81.94166384	01/25/2005	00:00:00	0		Phosphorus as P	44.00000000	ug/l		I	330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	389		26.52560853	-81.94166384	03/08/2005	00:00:00	0		Phosphorus as P	30.00000000	ug/l		I	330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	389		26.52560853	-81.94166384	04/06/2004	00:00:00	0		Phosphorus as P	55.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	389		26.52560853	-81.94166384	04/06/2004	00:00:00	0		Phosphorus as P	58.00000000	ug/l			330009	Tidal Caloosahatchee River
