DataSourceName	DataSourceCode	StationID	ActualStationID	Latitude_DD	Longitude_DD	SampleDate	SampleTime	ActivityDepth	ActivityDepthUnit	Characteristic	ResultValue	ResultUnit	ValueQualifier	ResultComment	WaterbodyID	WaterbodyName
USGS National Water Information System	USGS_NWIS	274214082265800		27.70390000	-82.44940000	06/04/1971	00:00:00			Nitrogen	920.00000000	ug/l			54	Little Manatee River
USGS National Water Information System	USGS_NWIS	274214082265800		27.70390000	-82.44940000	10/22/1971	00:00:00			Nitrogen	1530.00000000	ug/l			54	Little Manatee River
FDEP Watershed Monitoring Section	WIN_21FLGW	3555		27.67155363	-82.35218105	07/10/2017	14:45:00	0.3	m	Nitrogen	1510.00000000	ug/l		Water Institute Calculated	54	Little Manatee River
FDEP Watershed Monitoring Section	WIN_21FLGW	3555		27.67155363	-82.35218105	09/05/2017	13:10:00	0.3	m	Nitrogen	1290.00000000	ug/l		Water Institute Calculated	54	Little Manatee River
FDEP Watershed Monitoring Section	WIN_21FLGW	3555		27.67155363	-82.35218105	06/06/2017	13:20:00	0.3	m	Nitrogen	710.00000000	ug/l		Water Institute Calculated	54	Little Manatee River
FDEP Watershed Monitoring Section	WIN_21FLGW	3555		27.67155363	-82.35218105	08/01/2017	14:16:00	0.3	m	Nitrogen	1730.00000000	ug/l		Water Institute Calculated	54	Little Manatee River
FDEP Watershed Monitoring Section	WIN_21FLGW	3555		27.67155363	-82.35218105	03/01/2018	12:15:00	0.3	m	Nitrogen	960.00000000	ug/l		Water Institute Calculated	54	Little Manatee River
FDEP Watershed Monitoring Section	WIN_21FLGW	53281		27.70305417	-82.19950028	04/26/2018	10:20:00	0.3	m	Nitrogen	734.00000000	ug/l		Water Institute Calculated	54	Little Manatee River
FDEP Watershed Monitoring Section	WIN_21FLGW	53279		27.67140333	-82.35979972	04/10/2018	09:05:00	0.15	m	Nitrogen	930.00000000	ug/l		Water Institute Calculated	54	Little Manatee River
FDEP Watershed Monitoring Section	WIN_21FLGW	3555		27.67155363	-82.35218105	04/02/2018	11:26:00	0.2	m	Nitrogen	1070.00000000	ug/l		Water Institute Calculated	54	Little Manatee River
FDEP Watershed Monitoring Section	WIN_21FLGW	3555		27.67155363	-82.35218105	11/06/2017	13:40:00	0.3	m	Nitrogen	1110.00000000	ug/l		Water Institute Calculated	54	Little Manatee River
FDEP Watershed Monitoring Section	WIN_21FLGW	3555		27.67155363	-82.35218105	02/05/2018	13:55:00	0.3	m	Nitrogen	1420.00000000	ug/l		Water Institute Calculated	54	Little Manatee River
FDEP Watershed Monitoring Section	WIN_21FLGW	3555		27.67155363	-82.35218105	10/02/2017	11:30:00	0.3	m	Nitrogen	1180.00000000	ug/l		Water Institute Calculated	54	Little Manatee River
FDEP Watershed Monitoring Section	WIN_21FLGW	3555		27.67155363	-82.35218105	12/05/2017	12:25:00	0.1	m	Nitrogen	1020.00000000	ug/l		Water Institute Calculated	54	Little Manatee River
FDEP Watershed Monitoring Section	WIN_21FLGW	3555		27.67155363	-82.35218105	01/02/2018	11:40:00	0.3	m	Nitrogen	960.00000000	ug/l		Water Institute Calculated	54	Little Manatee River
FDEP Watershed Monitoring Section	WIN_21FLGW	3555		27.67155363	-82.35218105	10/31/2018	12:30:00	0.3	m	Nitrogen	1250.00000000	ug/l		Water Institute Calculated	54	Little Manatee River
FDEP Watershed Monitoring Section	WIN_21FLGW	3555		27.67155363	-82.35218105	08/02/2018	12:03:00	0.3	m	Nitrogen	1320.00000000	ug/l		Water Institute Calculated	54	Little Manatee River
FDEP Watershed Monitoring Section	WIN_21FLGW	3555		27.67155363	-82.35218105	12/05/2018	12:33:00	0.2	m	Nitrogen	1100.00000000	ug/l		Water Institute Calculated	54	Little Manatee River
FDEP Watershed Monitoring Section	WIN_21FLGW	3555		27.67155363	-82.35218105	05/01/2018	12:10:00	0.2	m	Nitrogen	870.00000000	ug/l		Water Institute Calculated	54	Little Manatee River
FDEP Watershed Monitoring Section	WIN_21FLGW	53288		27.64196889	-82.33149472	05/09/2018	10:15:00	0.3	m	Nitrogen	1700.00000000	ug/l		Water Institute Calculated	54	Little Manatee River
FDEP Watershed Monitoring Section	WIN_21FLGW	3555		27.67155363	-82.35218105	09/04/2018	12:50:00	0.3	m	Nitrogen	1200.00000000	ug/l		Water Institute Calculated	54	Little Manatee River
FDEP Watershed Monitoring Section	WIN_21FLGW	3555		27.67155363	-82.35218105	06/04/2018	12:40:00	0.3	m	Nitrogen	1930.00000000	ug/l		Water Institute Calculated	54	Little Manatee River
FDEP Watershed Monitoring Section	WIN_21FLGW	3555		27.67155363	-82.35218105	06/28/2018	11:30:00	0.3	m	Nitrogen	1190.00000000	ug/l		Water Institute Calculated	54	Little Manatee River
FDEP Watershed Monitoring Section	WIN_21FLGW	3555		27.67155363	-82.35218105	10/04/2018	12:55:00	0.3	m	Nitrogen	1160.00000000	ug/l		Water Institute Calculated	54	Little Manatee River
FDEP Watershed Monitoring Section	WIN_21FLGW	3555		27.67155363	-82.35218105	02/06/2019	13:00:00	0.3	m	Nitrogen	860.00000000	ug/l		Water Institute Calculated	54	Little Manatee River
FDEP Watershed Monitoring Section	WIN_21FLGW	3555		27.67155363	-82.35218105	03/04/2019	12:52:00	0.3	m	Nitrogen	760.00000000	ug/l		Water Institute Calculated	54	Little Manatee River
FDEP Watershed Monitoring Section	WIN_21FLGW	3555		27.67155363	-82.35218105	01/07/2019	11:36:00	0.3	m	Nitrogen	1060.00000000	ug/l		Water Institute Calculated	54	Little Manatee River
