DataSourceName	DataSourceCode	StationID	ActualStationID	Latitude_DD	Longitude_DD	SampleDate	SampleTime	ActivityDepth	ActivityDepthUnit	Characteristic	ResultValue	ResultUnit	ValueQualifier	ResultComment	WaterbodyID	WaterbodyName
Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network	CHEVWQMN_WQ	CHV004		26.96166700	-82.11305600	08/03/1998	06:45:00	0.5	m	Nitrogen	1110.00000000	ug/l		calculated	330008	Tidal Peace River
Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network	CHEVWQMN_WQ	CHV004		26.96166700	-82.11305600	09/08/1998	07:05:00	0.5	m	Nitrogen	980.00000000	ug/l		calculated	330008	Tidal Peace River
Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network	CHEVWQMN_WQ	CHV004		26.96166700	-82.11305600	10/05/1998	07:23:00	0.5	m	Nitrogen	1660.00000000	ug/l		calculated	330008	Tidal Peace River
Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network	CHEVWQMN_WQ	CHV004		26.96166700	-82.11305600	11/02/1998	06:30:00	0.5	m	Nitrogen	1000.00000000	ug/l		calculated	330008	Tidal Peace River
Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network	CHEVWQMN_WQ	CHV004		26.96166700	-82.11305600	12/07/1998	07:00:00	0.5	m	Nitrogen	1510.00000000	ug/l		calculated	330008	Tidal Peace River
Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network	CHEVWQMN_WQ	CHV004		26.96166700	-82.11305600	01/04/1999	07:10:00	0.5	m	Nitrogen	990.00000000	ug/l		calculated	330008	Tidal Peace River
Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network	CHEVWQMN_WQ	CHV004		26.96166700	-82.11305600	02/01/1999	07:07:00	0.5	m	Nitrogen	1000.00000000	ug/l		calculated	330008	Tidal Peace River
Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network	CHEVWQMN_WQ	CHV004		26.96166700	-82.11305600	03/01/1999	06:50:00	0.5	m	Nitrogen	900.00000000	ug/l		calculated	330008	Tidal Peace River
Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network	CHEVWQMN_WQ	CHV004		26.96166700	-82.11305600	04/05/1999	07:10:00	0.5	m	Nitrogen	1010.00000000	ug/l		calculated	330008	Tidal Peace River
Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network	CHEVWQMN_WQ	CHV004		26.96166700	-82.11305600	05/03/1999	09:20:00	0.5	m	Nitrogen	1310.00000000	ug/l		calculated	330008	Tidal Peace River
Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network	CHEVWQMN_WQ	CHV004		26.96166700	-82.11305600	06/07/1999	06:30:00	0.5	m	Nitrogen	1110.00000000	ug/l		calculated	330008	Tidal Peace River
Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network	CHEVWQMN_WQ	CHV004		26.96166700	-82.11305600	07/06/1999	06:30:00	0.5	m	Nitrogen	1410.00000000	ug/l		calculated	330008	Tidal Peace River
Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network	CHEVWQMN_WQ	CHV004		26.96166700	-82.11305600	08/02/1999	06:40:00	0.5	m	Nitrogen	1510.00000000	ug/l		calculated	330008	Tidal Peace River
Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network	CHEVWQMN_WQ	CHV004		26.96166700	-82.11305600	09/07/1999	07:00:00	0.5	m	Nitrogen	1290.00000000	ug/l		calculated	330008	Tidal Peace River
