DataSourceName	DataSourceCode	StationID	ActualStationID	Latitude_DD	Longitude_DD	SampleDate	SampleTime	ActivityDepth	ActivityDepthUnit	Characteristic	ResultValue	ResultUnit	ValueQualifier	ResultComment	WaterbodyID	WaterbodyName
Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network	CHEVWQMN_WQ	CHV004		26.96166700	-82.11305600	12/07/1998	07:00:00	0.5	m	Phosphorus as P	240.00000000	ug/l			330008	Tidal Peace River
Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network	CHEVWQMN_WQ	CHV004		26.96166700	-82.11305600	04/05/1999	07:10:00	0.5	m	Phosphorus as P	200.00000000	ug/l			330008	Tidal Peace River
Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network	CHEVWQMN_WQ	CHV004		26.96166700	-82.11305600	07/06/1999	06:30:00	0.5	m	Phosphorus as P	329.00000000	ug/l			330008	Tidal Peace River
Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network	CHEVWQMN_WQ	CHV004		26.96166700	-82.11305600	05/01/2000	06:40:00	0.5	m	Phosphorus as P	100.00000000	ug/l			330008	Tidal Peace River
Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network	CHEVWQMN_WQ	CHV004		26.96166700	-82.11305600	06/05/2000	06:20:00	0.5	m	Phosphorus as P	250.00000000	ug/l	J		330008	Tidal Peace River
Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network	CHEVWQMN_WQ	CHV004		26.96166700	-82.11305600	11/06/2000	06:24:00	0.5	m	Phosphorus as P	110.00000000	ug/l			330008	Tidal Peace River
Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network	CHEVWQMN_WQ	CHV004		26.96166700	-82.11305600	12/04/2000	06:45:00	0.5	m	Phosphorus as P	90.00000000	ug/l			330008	Tidal Peace River
Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network	CHEVWQMN_WQ	CHV004		26.96166700	-82.11305600	04/02/2001	07:00:00	0.5	m	Phosphorus as P	170.00000000	ug/l	Q		330008	Tidal Peace River
Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network	CHEVWQMN_WQ	CHV004		26.96166700	-82.11305600	02/04/2002	07:00:00	0.5	m	Phosphorus as P	190.00000000	ug/l			330008	Tidal Peace River
Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network	CHEVWQMN_WQ	CHV004		26.96166700	-82.11305600	06/03/2002	06:30:00	0.5	m	Phosphorus as P	330.00000000	ug/l			330008	Tidal Peace River
Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network	CHEVWQMN_WQ	CHV004		26.96166700	-82.11305600	07/07/2003	06:40:00	0.5	m	Phosphorus as P	400.00000000	ug/l			330008	Tidal Peace River
Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network	CHEVWQMN_WQ	CHV004		26.96166700	-82.11305600	08/03/1998	06:45:00	0.5	m	Phosphorus as P	280.00000000	ug/l			330008	Tidal Peace River
Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network	CHEVWQMN_WQ	CHV004		26.96166700	-82.11305600	04/05/2004	07:15:00	0.5	m	Phosphorus as P	190.00000000	ug/l	A		330008	Tidal Peace River
