DataSourceName	DataSourceCode	StationID	ActualStationID	Latitude_DD	Longitude_DD	SampleDate	SampleTime	ActivityDepth	ActivityDepthUnit	Characteristic	ResultValue	ResultUnit	ValueQualifier	ResultComment	WaterbodyID	WaterbodyName
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	12/30/1992	00:00:00			Nitrogen	5800.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	01/27/1993	00:00:00			Nitrogen	1200.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	01/27/1993	00:00:00			Nitrogen	5400.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	02/17/1993	00:00:00			Nitrogen	1200.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	02/17/1993	00:00:00			Nitrogen	5400.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	02/25/1993	00:00:00			Nitrogen	1100.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	02/25/1993	00:00:00			Nitrogen	5000.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	06/27/1991	00:00:00			Nitrogen	7200.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	07/31/1991	00:00:00			Nitrogen	1800.00000000				181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	07/31/1991	00:00:00			Nitrogen	8100.00000000				181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	08/13/1991	00:00:00			Nitrogen	1700.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	08/13/1991	00:00:00			Nitrogen	7600.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	08/29/1991	00:00:00			Nitrogen	3300.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	08/29/1991	00:00:00			Nitrogen	15000.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	09/30/1991	00:00:00			Nitrogen	350.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	09/30/1991	00:00:00			Nitrogen	1500.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	10/02/1991	00:00:00			Nitrogen	390.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	10/02/1991	00:00:00			Nitrogen	1700.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	11/01/1991	00:00:00			Nitrogen	1300.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	11/01/1991	00:00:00			Nitrogen	5800.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	12/03/1991	00:00:00			Nitrogen	2400.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	12/03/1991	00:00:00			Nitrogen	11000.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	01/29/1992	00:00:00			Nitrogen	2900.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	01/29/1992	00:00:00			Nitrogen	13000.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	03/31/1992	00:00:00			Nitrogen	910.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	03/31/1992	00:00:00			Nitrogen	4000.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	04/29/1993	00:00:00			Nitrogen	1600.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	04/29/1993	00:00:00			Nitrogen	7200.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	05/25/1993	00:00:00			Nitrogen	1900.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	05/25/1993	00:00:00			Nitrogen	8500.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	06/28/1993	00:00:00			Nitrogen	1900.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	06/28/1993	00:00:00			Nitrogen	8500.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	07/29/1993	00:00:00			Nitrogen	1400.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	07/29/1993	00:00:00			Nitrogen	6300.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	08/23/1993	00:00:00			Nitrogen	2200.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	08/23/1993	00:00:00			Nitrogen	9800.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	09/27/1993	00:00:00			Nitrogen	1400.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	09/27/1993	00:00:00			Nitrogen	6300.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	10/25/1993	00:00:00			Nitrogen	1200.00000000		<		181980	Withlacoochee River
USGS National Water Information System	USGS_NWIS	02310800		28.36084067	-81.81868860	10/25/1993	00:00:00			Nitrogen	5400.00000000		<		181980	Withlacoochee River
FDEP Central Regional Operations Center	STORET_21FLCEN	G4CE0138		28.36079500	-81.81888720	08/01/2017	00:00:00	0.3	m	Nitrogen	2004.00000000	ug/l		Water Institute Calculated - Value is known to be equal to or less than what is reported. TKN was detected, NOx was not.	181980	Withlacoochee River
SWFWMD Water Quality Sampling Data	STORET_21FLSWFD	17724		28.31248610	-82.05586300	02/04/2014	00:00:00	0.22	m	Nitrogen	1360.00000000	ug/l		N1	181980	Withlacoochee River
SWFWMD Water Quality Sampling Data	STORET_21FLSWFD	17724		28.31248610	-82.05586300	02/05/2013	00:00:00	0.15	m	Nitrogen	1350.00000000	ug/l		N1	181980	Withlacoochee River
SWFWMD Water Quality Sampling Data	STORET_21FLSWFD	17724		28.31248610	-82.05586300	02/07/2012	00:00:00	0.18	m	Nitrogen	1080.00000000	ug/l		N1	181980	Withlacoochee River
SWFWMD Water Quality Sampling Data	STORET_21FLSWFD	17724		28.31248610	-82.05586300	03/31/2014	00:00:00	0.49	m	Nitrogen	880.00000000	ug/l		N1	181980	Withlacoochee River
SWFWMD Water Quality Sampling Data	STORET_21FLSWFD	17724		28.31248610	-82.05586300	04/02/2013	00:00:00	0.15	m	Nitrogen	900.00000000	ug/l		N1	181980	Withlacoochee River
SWFWMD Water Quality Sampling Data	STORET_21FLSWFD	17724		28.31248610	-82.05586300	04/03/2012	00:00:00	0.16	m	Nitrogen	720.00000000	ug/l		N1	181980	Withlacoochee River
SWFWMD Water Quality Sampling Data	STORET_21FLSWFD	17724		28.31248610	-82.05586300	08/06/2014	00:00:00	0.5	m	Nitrogen	1040.00000000	ug/l		N1	181980	Withlacoochee River
SWFWMD Water Quality Sampling Data	STORET_21FLSWFD	17724		28.31248610	-82.05586300	10/01/2012	00:00:00	0.5	m	Nitrogen	1250.00000000	ug/l		N1	181980	Withlacoochee River
SWFWMD Water Quality Sampling Data	STORET_21FLSWFD	17724		28.31248610	-82.05586300	06/04/2014	00:00:00	0.17	m	Nitrogen	1560.00000000	ug/l		N1	181980	Withlacoochee River
SWFWMD Water Quality Sampling Data	STORET_21FLSWFD	17724		28.31248610	-82.05586300	06/05/2013	00:00:00	0.15	m	Nitrogen	500.00000000	ug/l		N1	181980	Withlacoochee River
SWFWMD Water Quality Sampling Data	STORET_21FLSWFD	17724		28.31248610	-82.05586300	06/07/2012	00:00:00	0.15	m	Nitrogen	620.00000000	ug/l		N1	181980	Withlacoochee River
SWFWMD Water Quality Sampling Data	STORET_21FLSWFD	17724		28.31248610	-82.05586300	10/06/2011	00:00:00	0.3	m	Nitrogen	1630.00000000	ug/l		N1	181980	Withlacoochee River
SWFWMD Water Quality Sampling Data	STORET_21FLSWFD	17724		28.31248610	-82.05586300	08/05/2013	00:00:00	0.26	m	Nitrogen	2040.00000000	ug/l		N1	181980	Withlacoochee River
SWFWMD Water Quality Sampling Data	STORET_21FLSWFD	17724		28.31248610	-82.05586300	08/06/2012	00:00:00	0.5	m	Nitrogen	1570.00000000	ug/l		N1	181980	Withlacoochee River
SWFWMD Water Quality Sampling Data	STORET_21FLSWFD	17724		28.31248610	-82.05586300	10/09/2013	00:00:00	0.5	m	Nitrogen	1550.00000000	ug/l		N1	181980	Withlacoochee River
SWFWMD Water Quality Sampling Data	STORET_21FLSWFD	17724		28.31248610	-82.05586300	10/09/2014	00:00:00	0.5	m	Nitrogen	1360.00000000	ug/l		N1	181980	Withlacoochee River
SWFWMD Water Quality Sampling Data	STORET_21FLSWFD	17724		28.31248610	-82.05586300	12/01/2014	00:00:00	0.5	m	Nitrogen	920.00000000	ug/l		N1	181980	Withlacoochee River
SWFWMD Water Quality Sampling Data	STORET_21FLSWFD	17724		28.31248610	-82.05586300	12/03/2012	00:00:00	0.24	m	Nitrogen	1680.00000000	ug/l		N1	181980	Withlacoochee River
SWFWMD Water Quality Sampling Data	STORET_21FLSWFD	17724		28.31248610	-82.05586300	12/04/2013	00:00:00	0.29	m	Nitrogen	1480.00000000	ug/l		N1	181980	Withlacoochee River
SWFWMD Water Quality Sampling Data	STORET_21FLSWFD	17724		28.31248610	-82.05586300	12/05/2011	00:00:00	0.22	m	Nitrogen	1670.00000000	ug/l		N1	181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	01/28/2019	00:00:00	0.5	m	Nitrogen	980.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	03/24/2015	00:00:00	0.5	m	Nitrogen	1830.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	06/16/2015	00:00:00	0.5	m	Nitrogen	1400.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	09/24/2015	00:00:00	0.5	m	Nitrogen	1580.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	11/02/2001	00:00:00	0.5	m	Nitrogen	2520.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	11/01/2004	00:00:00	0.5	m	Nitrogen	1990.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	11/16/2017	00:00:00	0.5	m	Nitrogen	1680.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	02/18/2008	00:00:00	0.5	m	Nitrogen	1690.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	08/20/2014	00:00:00	0.5	m	Nitrogen	1710.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	11/17/2014	00:00:00	0.5	m	Nitrogen	1590.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	07/20/2016	00:00:00	0.5	m	Nitrogen	1610.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	09/18/2018	00:00:00	0.5	m	Nitrogen	1350.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	11/27/2018	00:00:00	0.5	m	Nitrogen	1420.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	07/22/2019	00:00:00	0.5	m	Nitrogen	2070.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	02/20/2020	00:00:00	0.5	m	Nitrogen	1180.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	06/22/2021	00:00:00	0.5	m	Nitrogen	740.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR2		28.32597222	-81.93186111	04/06/2010	00:00:00	0.5	m	Nitrogen	1760.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	05/06/2003	00:00:00	0.5	m	Nitrogen	1620.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	11/20/2007	00:00:00	0.5	m	Nitrogen	2900.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	11/03/2005	00:00:00	0.5	m	Nitrogen	1410.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	09/23/2009	00:00:00	0.5	m	Nitrogen	2200.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	05/04/2011	00:00:00	0.5	m	Nitrogen	2150.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	06/20/2012	00:00:00	0.5	m	Nitrogen	940.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	09/20/2012	00:00:00	0.5	m	Nitrogen	1650.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	12/17/2012	00:00:00	0.5	m	Nitrogen	1760.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	01/23/2013	00:00:00	0.5	m	Nitrogen	1550.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	06/19/2017	00:00:00	0.5	m	Nitrogen	1420.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	05/21/2014	00:00:00	0.5	m	Nitrogen	1750.00000000	ug/l			181980	Withlacoochee River
Polk County Parks & Natural Resources Division	POLKCO_NRD_WQ	WITHLACOO RVR1		28.31261110	-82.05583330	12/17/2015	00:00:00	0.5	m	Nitrogen	1710.00000000	ug/l			181980	Withlacoochee River
