DataSourceName	DataSourceCode	StationID	ActualStationID	Latitude_DD	Longitude_DD	SampleDate	SampleTime	ActivityDepth	ActivityDepthUnit	Characteristic	ResultValue	ResultUnit	ValueQualifier	ResultComment	WaterbodyID	WaterbodyName
EPC Monthly Routine Water Monitoring	EPC_ROUTINE_MONITORING	112		27.70429990	-82.44869990	02/20/1974	09:30:00	0.8	m	Phosphorus as P	709.99998000	ug/l			54	Little Manatee River
EPC Monthly Routine Water Monitoring	EPC_ROUTINE_MONITORING	112		27.70429990	-82.44869990	03/27/1974	09:30:00	1.2	m	Phosphorus as P	1960.00000000	ug/l			54	Little Manatee River
EPC Monthly Routine Water Monitoring	EPC_ROUTINE_MONITORING	112		27.70429990	-82.44869990	04/24/1974	13:30:00	1.2	m	Phosphorus as P	1179.99990000	ug/l			54	Little Manatee River
EPC Monthly Routine Water Monitoring	EPC_ROUTINE_MONITORING	112		27.70429990	-82.44869990	05/22/1974	13:40:00	1.2	m	Phosphorus as P	1000.00000000	ug/l			54	Little Manatee River
EPC Monthly Routine Water Monitoring	EPC_ROUTINE_MONITORING	112		27.70429990	-82.44869990	06/19/1974	12:30:00	1.5	m	Phosphorus as P	949.99999000	ug/l			54	Little Manatee River
EPC Monthly Routine Water Monitoring	EPC_ROUTINE_MONITORING	112		27.70429990	-82.44869990	07/17/1974	12:55:00	1.1	m	Phosphorus as P	1280.00000000	ug/l			54	Little Manatee River
EPC Monthly Routine Water Monitoring	EPC_ROUTINE_MONITORING	112		27.70429990	-82.44869990	08/14/1974	13:40:00	1.4	m	Phosphorus as P	959.99998000	ug/l			54	Little Manatee River
EPC Monthly Routine Water Monitoring	EPC_ROUTINE_MONITORING	112		27.70429990	-82.44869990	09/11/1974	12:55:00	1.2	m	Phosphorus as P	920.00002000	ug/l			54	Little Manatee River
EPC Monthly Routine Water Monitoring	EPC_ROUTINE_MONITORING	112		27.70429990	-82.44869990	10/09/1974	13:40:00	1.4	m	Phosphorus as P	550.00001000	ug/l			54	Little Manatee River
EPC Monthly Routine Water Monitoring	EPC_ROUTINE_MONITORING	112		27.70429990	-82.44869990	11/13/1974	14:15:00		m	Phosphorus as P	649.99998000	ug/l			54	Little Manatee River
EPC Monthly Routine Water Monitoring	EPC_ROUTINE_MONITORING	112		27.70429990	-82.44869990	12/18/1974	12:38:00	1.4	m	Phosphorus as P	300.00001000	ug/l			54	Little Manatee River
EPC Monthly Routine Water Monitoring	EPC_ROUTINE_MONITORING	112		27.70429990	-82.44869990	01/22/1975	13:20:00	1.1	m	Phosphorus as P	600.00002000	ug/l			54	Little Manatee River
EPC Monthly Routine Water Monitoring	EPC_ROUTINE_MONITORING	112		27.70429990	-82.44869990	02/19/1975	13:20:00	1.5	m	Phosphorus as P	639.99999000	ug/l			54	Little Manatee River
EPC Monthly Routine Water Monitoring	EPC_ROUTINE_MONITORING	112		27.70429990	-82.44869990	03/19/1975	12:50:00	1.5	m	Phosphorus as P	720.00003000	ug/l			54	Little Manatee River
