SampleDate,Nitrogen,Phosphorus
1970-05-11,1420.0,120.0
1970-05-18,,
1970-05-25,,
1970-06-01,,
1970-06-08,,
1970-06-15,,
1970-06-22,,
1970-06-29,,
1970-07-06,,
1970-07-13,,
1970-07-20,,
1970-07-27,,
1970-08-03,,
1970-08-10,,
1970-08-17,,
1970-08-24,,
1970-08-31,,
1970-09-07,,
1970-09-14,,
1970-09-21,,
1970-09-28,,
1970-10-05,,
1970-10-12,,
1970-10-19,,
1970-10-26,,
1970-11-02,1090.0,230.0
1970-11-09,,
1970-11-16,,
1970-11-23,,
1970-11-30,,
1970-12-07,,
1970-12-14,,
1970-12-21,,
1970-12-28,,
1971-01-04,,
1971-01-11,,
1971-01-18,,
1971-01-25,,
1971-02-01,,
1971-02-08,400.0,
1971-02-15,,
1971-02-22,,
1971-03-01,,
1971-03-08,,
1971-03-15,,
1971-03-22,,
1971-03-29,,
1971-04-05,,
1971-04-12,,
1971-04-19,,
1971-04-26,,
1971-05-03,950.0,110.0
1971-05-10,,
1971-05-17,,
1971-05-24,,
1971-05-31,,
1971-06-07,,
1971-06-14,,
1971-06-21,,
1971-06-28,,
1971-07-05,,
1971-07-12,,
1971-07-19,,
1971-07-26,,
1971-08-02,,
1971-08-09,,
1971-08-16,,
1971-08-23,,
1971-08-30,,
1971-09-06,,
1971-09-13,1260.0,450.0
1971-09-20,,
1971-09-27,,
1971-10-04,,
1971-10-11,,
1971-10-18,,
1971-10-25,,
1971-11-01,,
1971-11-08,,
1971-11-15,,
1971-11-22,,
1971-11-29,,
1971-12-06,,
1971-12-13,,
1971-12-20,,
1971-12-27,,
1972-01-03,,
1972-01-10,,
1972-01-17,,
1972-01-24,,
1972-01-31,,
1972-02-07,,
1972-02-14,,
1972-02-21,,
1972-02-28,,
1972-03-06,,
1972-03-13,,
1972-03-20,,
1972-03-27,,
1972-04-03,,
1972-04-10,,
1972-04-17,,
1972-04-24,,
1972-05-01,,
1972-05-08,900.0,78.0
1972-05-15,,
1972-05-22,,
1972-05-29,,
1972-06-05,,
1972-06-12,,
1972-06-19,,
1972-06-26,,
1972-07-03,,
1972-07-10,,
1972-07-17,,
1972-07-24,,
1972-07-31,,
1972-08-07,,
1972-08-14,,
1972-08-21,,
1972-08-28,,
1972-09-04,,
1972-09-11,1200.0,228.5
1972-09-18,,
1972-09-25,,
1972-10-02,,
1972-10-09,,
1972-10-16,,
1972-10-23,,
1972-10-30,,
1972-11-06,1400.0,147.5
1972-11-13,,
1972-11-20,,
1972-11-27,,
1972-12-04,1000.0,139.5
1972-12-11,1330.0,131.25
1972-12-18,,
1972-12-25,,
1973-01-01,,
1973-01-08,,
1973-01-15,,
1973-01-22,,
1973-01-29,,
1973-02-05,860.0,69.5
1973-02-12,,
1973-02-19,,
1973-02-26,,
1973-03-05,920.0,54.0
1973-03-12,1406.6666666666667,98.0
1973-03-19,,
1973-03-26,,
1973-04-02,,
1973-04-09,1100.0,87.5
1973-04-16,,
1973-04-23,1390.0,100.0
1973-04-30,,
1973-05-07,,
1973-05-14,690.0,66.0
1973-05-21,,
1973-05-28,,
1973-06-04,,
1973-06-11,,
1973-06-18,,
1973-06-25,1000.0,88.0
1973-07-02,,
1973-07-09,,
1973-07-16,,
1973-07-23,,
1973-07-30,1760.0,380.0
1973-08-06,,
1973-08-13,1740.0,249.0
1973-08-20,,
1973-08-27,1640.0,760.0
1973-09-03,,
1973-09-10,1560.0,280.0
1973-09-17,,
1973-09-24,836.6666666666666,139.5
1973-10-01,1330.0,
1973-10-08,,
1973-10-15,,
1973-10-22,3505.0,175.0
1973-10-29,,
1973-11-05,,
1973-11-12,,
1973-11-19,1198.2084690553745,133.94116470588236
1973-11-26,,
1973-12-03,,
1973-12-10,,
1973-12-17,,
1973-12-24,1220.0,
1973-12-31,,
1974-01-07,,
1974-01-14,,
1974-01-21,,
1974-01-28,,
1974-02-04,,
1974-02-11,920.0,81.0
1974-02-18,,
1974-02-25,1840.0,
1974-03-04,,
1974-03-11,,
1974-03-18,1200.0,50.0
1974-03-25,260.0,130.0
1974-04-01,,
1974-04-08,,
1974-04-15,,
1974-04-22,,
1974-04-29,,
1974-05-06,,
1974-05-13,1400.0,60.5
1974-05-20,,
1974-05-27,1400.0,132.0
1974-06-03,,
1974-06-10,,
1974-06-17,,
1974-06-24,,
1974-07-01,1540.0,533.5
1974-07-08,,
1974-07-15,,
1974-07-22,,
1974-07-29,,
1974-08-05,,
1974-08-12,2350.0,330.0
1974-08-19,,
1974-08-26,,
1974-09-02,3800.0,203.0
1974-09-09,,
1974-09-16,1845.0,135.0
1974-09-23,,
1974-09-30,1340.0,254.0
1974-10-07,,
1974-10-14,,
1974-10-21,,
1974-10-28,,
1974-11-04,,
1974-11-11,2570.0,142.5
1974-11-18,,
1974-11-25,,
1974-12-02,,
1974-12-09,,
1974-12-16,2060.0,
1974-12-23,,
1974-12-30,3250.0,106.5
1975-01-06,,
1975-01-13,,
1975-01-20,,
1975-01-27,,
1975-02-03,3600.0,111.5
1975-02-10,1000.0,70.0
1975-02-17,,
1975-02-24,,
1975-03-03,2586.0,40.5
1975-03-10,665.0,92.5
1975-03-17,,
1975-03-24,,
1975-03-31,2543.3333333333335,140.4
1975-04-07,,
1975-04-14,1340.0,130.0
1975-04-21,,
1975-04-28,,
1975-05-05,3300.0,162.5
1975-05-12,,
1975-05-19,2614.285714285714,178.85714285714286
1975-05-26,,
1975-06-02,3700.0,244.0
1975-06-09,,
1975-06-16,,
1975-06-23,1330.0,170.0
1975-06-30,3800.0,269.5
1975-07-07,,
1975-07-14,,
1975-07-21,,
1975-07-28,,
