agency_cd	site_no	datetime	discharge	approval
USGS	02303330	1985-10-01	337	A
USGS	02303330	1985-10-02	316	A
USGS	02303330	1985-10-03	293	A
USGS	02303330	1985-10-04	270	A
USGS	02303330	1985-10-05	265	A
USGS	02303330	1985-10-06	255	A
USGS	02303330	1985-10-07	255	A
USGS	02303330	1985-10-08	270	A
USGS	02303330	1985-10-09	285	A
USGS	02303330	1985-10-10	290	A
USGS	02303330	1985-10-11	285	A
USGS	02303330	1985-10-12	270	A
USGS	02303330	1985-10-13	250	A
USGS	02303330	1985-10-14	225	A
USGS	02303330	1985-10-15	210	A
USGS	02303330	1985-10-16	200	A
USGS	02303330	1985-10-17	175	A
USGS	02303330	1985-10-18	155	A
USGS	02303330	1985-10-19	150	A
USGS	02303330	1985-10-20	140	A
USGS	02303330	1985-10-21	135	A
USGS	02303330	1985-10-22	130	A
USGS	02303330	1985-10-23	125	A
USGS	02303330	1985-10-24	120	A
USGS	02303330	1985-10-25	121	A
USGS	02303330	1985-10-26	117	A
USGS	02303330	1985-10-27	117	A
USGS	02303330	1985-10-28	115	A
USGS	02303330	1985-10-29	112	A
USGS	02303330	1985-10-30	112	A
USGS	02303330	1985-10-31	141	A
USGS	02303330	1985-11-01	176	A
USGS	02303330	1985-11-02	186	A
USGS	02303330	1985-11-03	209	A
USGS	02303330	1985-11-04	222	A
USGS	02303330	1985-11-05	215	A
USGS	02303330	1985-11-06	202	A
USGS	02303330	1985-11-07	188	A
USGS	02303330	1985-11-08	177	A
USGS	02303330	1985-11-09	163	A
USGS	02303330	1985-11-10	155	A
USGS	02303330	1985-11-11	148	A
USGS	02303330	1985-11-12	141	A
USGS	02303330	1985-11-13	135	A
USGS	02303330	1985-11-14	130	A
USGS	02303330	1985-11-15	125	A
USGS	02303330	1985-11-16	122	A
USGS	02303330	1985-11-17	119	A
USGS	02303330	1985-11-18	117	A
USGS	02303330	1985-11-19	114	A
USGS	02303330	1985-11-20	115	A
USGS	02303330	1985-11-21	115	A
USGS	02303330	1985-11-22	120	A
USGS	02303330	1985-11-23	121	A
USGS	02303330	1985-11-24	121	A
USGS	02303330	1985-11-25	120	A
USGS	02303330	1985-11-26	118	A
USGS	02303330	1985-11-27	116	A
USGS	02303330	1985-11-28	115	A
USGS	02303330	1985-11-29	113	A
USGS	02303330	1985-11-30	112	A
USGS	02303330	1985-12-01	110	A
USGS	02303330	1985-12-02	109	A
USGS	02303330	1985-12-03	107	A
USGS	02303330	1985-12-04	104	A
USGS	02303330	1985-12-05	103	A
USGS	02303330	1985-12-06	103	A
USGS	02303330	1985-12-07	103	A
USGS	02303330	1985-12-08	107	A
USGS	02303330	1985-12-09	110	A
USGS	02303330	1985-12-10	110	A
USGS	02303330	1985-12-11	109	A
USGS	02303330	1985-12-12	107	A
USGS	02303330	1985-12-13	105	A
USGS	02303330	1985-12-14	116	A
USGS	02303330	1985-12-15	118	A
USGS	02303330	1985-12-16	120	A
USGS	02303330	1985-12-17	123	A
USGS	02303330	1985-12-18	122	A
USGS	02303330	1985-12-19	120	A
USGS	02303330	1985-12-20	117	A
USGS	02303330	1985-12-21	113	A
USGS	02303330	1985-12-22	111	A
USGS	02303330	1985-12-23	108	A
USGS	02303330	1985-12-24	108	A
USGS	02303330	1985-12-25	112	A
USGS	02303330	1985-12-26	112	A
USGS	02303330	1985-12-27	113	A
USGS	02303330	1985-12-28	114	A
USGS	02303330	1985-12-29	114	A
USGS	02303330	1985-12-30	113	A
USGS	02303330	1985-12-31	112	A
USGS	02303330	1986-01-01	127	A
USGS	02303330	1986-01-02	133	A
USGS	02303330	1986-01-03	139	A
USGS	02303330	1986-01-04	146	A
USGS	02303330	1986-01-05	150	A
USGS	02303330	1986-01-06	148	A
USGS	02303330	1986-01-07	146	A
USGS	02303330	1986-01-08	147	A
USGS	02303330	1986-01-09	145	A
USGS	02303330	1986-01-10	174	A
USGS	02303330	1986-01-11	202	A
USGS	02303330	1986-01-12	290	A
USGS	02303330	1986-01-13	426	A
USGS	02303330	1986-01-14	468	A
USGS	02303330	1986-01-15	466	A
USGS	02303330	1986-01-16	438	A
USGS	02303330	1986-01-17	404	A
USGS	02303330	1986-01-18	381	A
USGS	02303330	1986-01-19	371	A
USGS	02303330	1986-01-20	358	A
USGS	02303330	1986-01-21	344	A
USGS	02303330	1986-01-22	328	A
USGS	02303330	1986-01-23	306	A
USGS	02303330	1986-01-24	285	A
USGS	02303330	1986-01-25	264	A
USGS	02303330	1986-01-26	254	A
USGS	02303330	1986-01-27	244	A
USGS	02303330	1986-01-28	232	A
USGS	02303330	1986-01-29	227	A
USGS	02303330	1986-01-30	220	A
USGS	02303330	1986-01-31	213	A
USGS	02303330	1986-02-01	204	A
USGS	02303330	1986-02-02	195	A
USGS	02303330	1986-02-03	186	A
USGS	02303330	1986-02-04	177	A
USGS	02303330	1986-02-05	170	A
USGS	02303330	1986-02-06	162	A
USGS	02303330	1986-02-07	159	A
USGS	02303330	1986-02-08	165	A
USGS	02303330	1986-02-09	174	A
USGS	02303330	1986-02-10	179	A
USGS	02303330	1986-02-11	214	A
USGS	02303330	1986-02-12	250	A
USGS	02303330	1986-02-13	255	A
USGS	02303330	1986-02-14	259	A
USGS	02303330	1986-02-15	254	A
USGS	02303330	1986-02-16	238	A
USGS	02303330	1986-02-17	221	A
USGS	02303330	1986-02-18	218	A
USGS	02303330	1986-02-19	210	A
USGS	02303330	1986-02-20	204	A
USGS	02303330	1986-02-21	200	A
USGS	02303330	1986-02-22	196	A
USGS	02303330	1986-02-23	189	A
USGS	02303330	1986-02-24	181	A
USGS	02303330	1986-02-25	172	A
USGS	02303330	1986-02-26	162	A
USGS	02303330	1986-02-27	156	A
USGS	02303330	1986-02-28	150	A
USGS	02303330	1986-03-01	147	A
USGS	02303330	1986-03-02	143	A
USGS	02303330	1986-03-03	140	A
USGS	02303330	1986-03-04	137	A
USGS	02303330	1986-03-05	135	A
USGS	02303330	1986-03-06	132	A
USGS	02303330	1986-03-07	130	A
USGS	02303330	1986-03-08	127	A
USGS	02303330	1986-03-09	123	A
USGS	02303330	1986-03-10	123	A
USGS	02303330	1986-03-11	134	A
USGS	02303330	1986-03-12	138	A
USGS	02303330	1986-03-13	142	A
USGS	02303330	1986-03-14	148	A
USGS	02303330	1986-03-15	177	A
USGS	02303330	1986-03-16	278	A
USGS	02303330	1986-03-17	709	A
USGS	02303330	1986-03-18	1120	A
USGS	02303330	1986-03-19	1020	A
USGS	02303330	1986-03-20	851	A
USGS	02303330	1986-03-21	704	A
USGS	02303330	1986-03-22	553	A
USGS	02303330	1986-03-23	446	A
USGS	02303330	1986-03-24	377	A
USGS	02303330	1986-03-25	325	A
