agency_cd	site_no	datetime	discharge	approval
USGS	02300500	1985-10-01	59.5	A
USGS	02300500	1985-10-02	65.5	A
USGS	02300500	1985-10-03	81.7	A
USGS	02300500	1985-10-04	63.7	A
USGS	02300500	1985-10-05	58.0	A
USGS	02300500	1985-10-06	104	A
USGS	02300500	1985-10-07	82.9	A
USGS	02300500	1985-10-08	81.5	A
USGS	02300500	1985-10-09	89.3	A
USGS	02300500	1985-10-10	90.0	A
USGS	02300500	1985-10-11	89.8	A
USGS	02300500	1985-10-12	77.6	A
USGS	02300500	1985-10-13	67.5	A
USGS	02300500	1985-10-14	63.0	A
USGS	02300500	1985-10-15	55.0	A
USGS	02300500	1985-10-16	54.0	A
USGS	02300500	1985-10-17	52.0	A
USGS	02300500	1985-10-18	52.0	A
USGS	02300500	1985-10-19	49.0	A
USGS	02300500	1985-10-20	49.0	A
USGS	02300500	1985-10-21	48.0	A
USGS	02300500	1985-10-22	49.5	A
USGS	02300500	1985-10-23	47.4	A
USGS	02300500	1985-10-24	46.3	A
USGS	02300500	1985-10-25	47.3	A
USGS	02300500	1985-10-26	48.1	A
USGS	02300500	1985-10-27	46.5	A
USGS	02300500	1985-10-28	52.0	A
USGS	02300500	1985-10-29	55.0	A
USGS	02300500	1985-10-30	70.0	A
USGS	02300500	1985-10-31	133	A
USGS	02300500	1985-11-01	283	A
USGS	02300500	1985-11-02	168	A
USGS	02300500	1985-11-03	120	A
USGS	02300500	1985-11-04	103	A
USGS	02300500	1985-11-05	87.0	A
USGS	02300500	1985-11-06	74.8	A
USGS	02300500	1985-11-07	73.7	A
USGS	02300500	1985-11-08	75.3	A
USGS	02300500	1985-11-09	72.0	A
USGS	02300500	1985-11-10	63.0	A
USGS	02300500	1985-11-11	60.4	A
USGS	02300500	1985-11-12	59.0	A
USGS	02300500	1985-11-13	54.0	A
USGS	02300500	1985-11-14	49.0	A
USGS	02300500	1985-11-15	44.0	A
USGS	02300500	1985-11-16	45.0	A
USGS	02300500	1985-11-17	42.5	A
USGS	02300500	1985-11-18	41.0	A
USGS	02300500	1985-11-19	42.0	A
USGS	02300500	1985-11-20	42.0	A
USGS	02300500	1985-11-21	76.0	A
USGS	02300500	1985-11-22	87.0	A
USGS	02300500	1985-11-23	58.0	A
USGS	02300500	1985-11-24	42.0	A
USGS	02300500	1985-11-25	39.0	A
USGS	02300500	1985-11-26	39.0	A
USGS	02300500	1985-11-27	39.0	A
USGS	02300500	1985-11-28	39.0	A
USGS	02300500	1985-11-29	39.0	A
USGS	02300500	1985-11-30	39.0	A
USGS	02300500	1985-12-01	40.0	A
USGS	02300500	1985-12-02	37.7	A
USGS	02300500	1985-12-03	36.3	A
USGS	02300500	1985-12-04	41.0	A
USGS	02300500	1985-12-05	49.2	A
USGS	02300500	1985-12-06	74.5	A
USGS	02300500	1985-12-07	66.0	A
USGS	02300500	1985-12-08	51.6	A
USGS	02300500	1985-12-09	45.8	A
USGS	02300500	1985-12-10	40.7	A
USGS	02300500	1985-12-11	39.2	A
USGS	02300500	1985-12-12	42.0	A
USGS	02300500	1985-12-13	42.0	A
USGS	02300500	1985-12-14	64.0	A
USGS	02300500	1985-12-15	63.3	A
USGS	02300500	1985-12-16	54.2	A
USGS	02300500	1985-12-17	46.7	A
USGS	02300500	1985-12-18	43.3	A
USGS	02300500	1985-12-19	40.7	A
USGS	02300500	1985-12-20	38.9	A
USGS	02300500	1985-12-21	37.1	A
USGS	02300500	1985-12-22	36.5	A
USGS	02300500	1985-12-23	37.6	A
USGS	02300500	1985-12-24	42.9	A
USGS	02300500	1985-12-25	65.0	A
USGS	02300500	1985-12-26	60.3	A
USGS	02300500	1985-12-27	54.2	A
USGS	02300500	1985-12-28	52.8	A
USGS	02300500	1985-12-29	47.3	A
USGS	02300500	1985-12-30	43.7	A
USGS	02300500	1985-12-31	41.3	A
USGS	02300500	1986-01-01	49.5	A
USGS	02300500	1986-01-02	76.0	A
USGS	02300500	1986-01-03	77.7	A
USGS	02300500	1986-01-04	68.1	A
USGS	02300500	1986-01-05	83.9	A
USGS	02300500	1986-01-06	88.0	A
USGS	02300500	1986-01-07	88.0	A
USGS	02300500	1986-01-08	82.4	A
USGS	02300500	1986-01-09	73.0	A
USGS	02300500	1986-01-10	127	A
USGS	02300500	1986-01-11	143	A
USGS	02300500	1986-01-12	125	A
USGS	02300500	1986-01-13	102	A
USGS	02300500	1986-01-14	84.0	A
USGS	02300500	1986-01-15	84.0	A
USGS	02300500	1986-01-16	73.0	A
USGS	02300500	1986-01-17	86.1	A
USGS	02300500	1986-01-18	89.9	A
USGS	02300500	1986-01-19	84.7	A
USGS	02300500	1986-01-20	77.2	A
USGS	02300500	1986-01-21	68.7	A
USGS	02300500	1986-01-22	65.1	A
USGS	02300500	1986-01-23	69.9	A
USGS	02300500	1986-01-24	78.3	A
USGS	02300500	1986-01-25	76.1	A
USGS	02300500	1986-01-26	78.0	A
USGS	02300500	1986-01-27	81.1	A
USGS	02300500	1986-01-28	70.3	A
USGS	02300500	1986-01-29	70.0	A
USGS	02300500	1986-01-30	70.0	A
USGS	02300500	1986-01-31	69.0	A
USGS	02300500	1986-02-01	64.0	A
USGS	02300500	1986-02-02	64.6	A
USGS	02300500	1986-02-03	65.2	A
USGS	02300500	1986-02-04	62.5	A
USGS	02300500	1986-02-05	62.0	A
USGS	02300500	1986-02-06	62.5	A
USGS	02300500	1986-02-07	57.1	A
USGS	02300500	1986-02-08	176	A
USGS	02300500	1986-02-09	286	A
USGS	02300500	1986-02-10	129	A
USGS	02300500	1986-02-11	97.0	A
USGS	02300500	1986-02-12	97.0	A
USGS	02300500	1986-02-13	88.0	A
USGS	02300500	1986-02-14	83.0	A
USGS	02300500	1986-02-15	78.0	A
USGS	02300500	1986-02-16	75.5	A
USGS	02300500	1986-02-17	75.0	A
USGS	02300500	1986-02-18	77.4	A
USGS	02300500	1986-02-19	79.0	A
USGS	02300500	1986-02-20	90.2	A
USGS	02300500	1986-02-21	78.6	A
USGS	02300500	1986-02-22	81.0	A
USGS	02300500	1986-02-23	76.9	A
USGS	02300500	1986-02-24	76.9	A
USGS	02300500	1986-02-25	77.0	A
USGS	02300500	1986-02-26	77.1	A
USGS	02300500	1986-02-27	77.6	A
USGS	02300500	1986-02-28	78.6	A
USGS	02300500	1986-03-01	85.4	A
USGS	02300500	1986-03-02	81.1	A
USGS	02300500	1986-03-03	82.3	A
USGS	02300500	1986-03-04	91.2	A
USGS	02300500	1986-03-05	101	A
USGS	02300500	1986-03-06	78.0	A
USGS	02300500	1986-03-07	74.4	A
USGS	02300500	1986-03-08	74.0	A
USGS	02300500	1986-03-09	74.1	A
USGS	02300500	1986-03-10	96.0	A
USGS	02300500	1986-03-11	101	A
USGS	02300500	1986-03-12	86.7	A
USGS	02300500	1986-03-13	92.0	A
USGS	02300500	1986-03-14	89.3	A
USGS	02300500	1986-03-15	190	A
USGS	02300500	1986-03-16	628	A
USGS	02300500	1986-03-17	744	A
USGS	02300500	1986-03-18	719	A
USGS	02300500	1986-03-19	417	A
USGS	02300500	1986-03-20	180	A
USGS	02300500	1986-03-21	145	A
USGS	02300500	1986-03-22	125	A
USGS	02300500	1986-03-23	124	A
USGS	02300500	1986-03-24	129	A
USGS	02300500	1986-03-25	135	A
USGS	02300500	1986-03-26	129	A
USGS	02300500	1986-03-27	129	A
USGS	02300500	1986-03-28	146	A
