agency_cd	site_no	datetime	discharge	approval
USGS	02296750	1985-10-01	804	A
USGS	02296750	1985-10-02	768	A
USGS	02296750	1985-10-03	724	A
USGS	02296750	1985-10-04	1130	A
USGS	02296750	1985-10-05	1500	A
USGS	02296750	1985-10-06	1360	A
USGS	02296750	1985-10-07	1240	A
USGS	02296750	1985-10-08	1050	A
USGS	02296750	1985-10-09	859	A
USGS	02296750	1985-10-10	752	A
USGS	02296750	1985-10-11	666	A
USGS	02296750	1985-10-12	570	A
USGS	02296750	1985-10-13	496	A
USGS	02296750	1985-10-14	595	A
USGS	02296750	1985-10-15	838	A
USGS	02296750	1985-10-16	906	A
USGS	02296750	1985-10-17	826	A
USGS	02296750	1985-10-18	744	A
USGS	02296750	1985-10-19	635	A
USGS	02296750	1985-10-20	499	A
USGS	02296750	1985-10-21	443	A
USGS	02296750	1985-10-22	426	A
USGS	02296750	1985-10-23	429	A
USGS	02296750	1985-10-24	449	A
USGS	02296750	1985-10-25	419	A
USGS	02296750	1985-10-26	335	A
USGS	02296750	1985-10-27	301	A
USGS	02296750	1985-10-28	299	A
USGS	02296750	1985-10-29	287	A
USGS	02296750	1985-10-30	279	A
USGS	02296750	1985-10-31	295	A
USGS	02296750	1985-11-01	332	A
USGS	02296750	1985-11-02	396	A
USGS	02296750	1985-11-03	392	A
USGS	02296750	1985-11-04	424	A
USGS	02296750	1985-11-05	473	A
USGS	02296750	1985-11-06	413	A
USGS	02296750	1985-11-07	364	A
USGS	02296750	1985-11-08	327	A
USGS	02296750	1985-11-09	301	A
USGS	02296750	1985-11-10	279	A
USGS	02296750	1985-11-11	267	A
USGS	02296750	1985-11-12	259	A
USGS	02296750	1985-11-13	258	A
USGS	02296750	1985-11-14	260	A
USGS	02296750	1985-11-15	240	A
USGS	02296750	1985-11-16	236	A
USGS	02296750	1985-11-17	242	A
USGS	02296750	1985-11-18	240	A
USGS	02296750	1985-11-19	261	A
USGS	02296750	1985-11-20	256	A
USGS	02296750	1985-11-21	232	A
USGS	02296750	1985-11-22	214	A
USGS	02296750	1985-11-23	186	A
USGS	02296750	1985-11-24	174	A
USGS	02296750	1985-11-25	174	A
USGS	02296750	1985-11-26	169	A
USGS	02296750	1985-11-27	158	A
USGS	02296750	1985-11-28	146	A
USGS	02296750	1985-11-29	141	A
USGS	02296750	1985-11-30	143	A
USGS	02296750	1985-12-01	139	A
USGS	02296750	1985-12-02	172	A
USGS	02296750	1985-12-03	168	A
USGS	02296750	1985-12-04	147	A
USGS	02296750	1985-12-05	137	A
USGS	02296750	1985-12-06	130	A
USGS	02296750	1985-12-07	127	A
USGS	02296750	1985-12-08	129	A
USGS	02296750	1985-12-09	128	A
USGS	02296750	1985-12-10	125	A
USGS	02296750	1985-12-11	110	A
USGS	02296750	1985-12-12	115	A
USGS	02296750	1985-12-13	127	A
USGS	02296750	1985-12-14	129	A
USGS	02296750	1985-12-15	129	A
USGS	02296750	1985-12-16	139	A
USGS	02296750	1985-12-17	147	A
USGS	02296750	1985-12-18	165	A
USGS	02296750	1985-12-19	165	A
USGS	02296750	1985-12-20	147	A
USGS	02296750	1985-12-21	125	A
USGS	02296750	1985-12-22	108	A
USGS	02296750	1985-12-23	101	A
USGS	02296750	1985-12-24	116	A
USGS	02296750	1985-12-25	137	A
USGS	02296750	1985-12-26	142	A
USGS	02296750	1985-12-27	146	A
USGS	02296750	1985-12-28	147	A
USGS	02296750	1985-12-29	152	A
USGS	02296750	1985-12-30	155	A
USGS	02296750	1985-12-31	141	A
USGS	02296750	1986-01-01	137	A
USGS	02296750	1986-01-02	148	A
USGS	02296750	1986-01-03	198	A
USGS	02296750	1986-01-04	201	A
USGS	02296750	1986-01-05	177	A
USGS	02296750	1986-01-06	154	A
USGS	02296750	1986-01-07	170	A
USGS	02296750	1986-01-08	192	A
USGS	02296750	1986-01-09	210	A
USGS	02296750	1986-01-10	212	A
USGS	02296750	1986-01-11	249	A
USGS	02296750	1986-01-12	341	A
USGS	02296750	1986-01-13	299	A
USGS	02296750	1986-01-14	261	A
USGS	02296750	1986-01-15	256	A
USGS	02296750	1986-01-16	254	A
USGS	02296750	1986-01-17	239	A
USGS	02296750	1986-01-18	228	A
USGS	02296750	1986-01-19	226	A
USGS	02296750	1986-01-20	225	A
USGS	02296750	1986-01-21	223	A
USGS	02296750	1986-01-22	214	A
USGS	02296750	1986-01-23	196	A
USGS	02296750	1986-01-24	175	A
USGS	02296750	1986-01-25	165	A
USGS	02296750	1986-01-26	158	A
USGS	02296750	1986-01-27	181	A
USGS	02296750	1986-01-28	222	A
USGS	02296750	1986-01-29	236	A
USGS	02296750	1986-01-30	224	A
USGS	02296750	1986-01-31	223	A
USGS	02296750	1986-02-01	225	A
USGS	02296750	1986-02-02	237	A
USGS	02296750	1986-02-03	229	A
USGS	02296750	1986-02-04	236	A
USGS	02296750	1986-02-05	246	A
USGS	02296750	1986-02-06	249	A
USGS	02296750	1986-02-07	221	A
USGS	02296750	1986-02-08	186	A
USGS	02296750	1986-02-09	187	A
USGS	02296750	1986-02-10	273	A
USGS	02296750	1986-02-11	313	A
USGS	02296750	1986-02-12	328	A
USGS	02296750	1986-02-13	364	A
USGS	02296750	1986-02-14	345	A
USGS	02296750	1986-02-15	307	A
USGS	02296750	1986-02-16	287	A
USGS	02296750	1986-02-17	277	A
USGS	02296750	1986-02-18	270	A
USGS	02296750	1986-02-19	290	A
USGS	02296750	1986-02-20	299	A
USGS	02296750	1986-02-21	286	A
USGS	02296750	1986-02-22	268	A
USGS	02296750	1986-02-23	251	A
USGS	02296750	1986-02-24	269	A
USGS	02296750	1986-02-25	256	A
USGS	02296750	1986-02-26	250	A
USGS	02296750	1986-02-27	238	A
USGS	02296750	1986-02-28	222	A
USGS	02296750	1986-03-01	214	A
USGS	02296750	1986-03-02	206	A
USGS	02296750	1986-03-03	201	A
USGS	02296750	1986-03-04	204	A
USGS	02296750	1986-03-05	206	A
USGS	02296750	1986-03-06	205	A
USGS	02296750	1986-03-07	201	A
USGS	02296750	1986-03-08	193	A
USGS	02296750	1986-03-09	177	A
USGS	02296750	1986-03-10	222	A
USGS	02296750	1986-03-11	290	A
USGS	02296750	1986-03-12	339	A
USGS	02296750	1986-03-13	338	A
USGS	02296750	1986-03-14	344	A
USGS	02296750	1986-03-15	581	A
USGS	02296750	1986-03-16	1480	A
USGS	02296750	1986-03-17	2030	A
USGS	02296750	1986-03-18	2000	A
USGS	02296750	1986-03-19	1600	A
USGS	02296750	1986-03-20	1190	A
USGS	02296750	1986-03-21	1000	A
USGS	02296750	1986-03-22	884	A
USGS	02296750	1986-03-23	781	A
USGS	02296750	1986-03-24	706	A
USGS	02296750	1986-03-25	655	A
USGS	02296750	1986-03-26	610	A
USGS	02296750	1986-03-27	642	A
USGS	02296750	1986-03-28	699	A
USGS	02296750	1986-03-29	607	A
USGS	02296750	1986-03-30	557	A
USGS	02296750	1986-03-31	523	A
USGS	02296750	1986-04-01	424	A
USGS	02296750	1986-04-02	356	A
USGS	02296750	1986-04-03	317	A
USGS	02296750	1986-04-04	291	A
USGS	02296750	1986-04-05	263	A
USGS	02296750	1986-04-06	249	A
USGS	02296750	1986-04-07	217	A
USGS	02296750	1986-04-08	200	A
USGS	02296750	1986-04-09	193	A
USGS	02296750	1986-04-10	182	A
USGS	02296750	1986-04-11	181	A
USGS	02296750	1986-04-12	182	A
USGS	02296750	1986-04-13	189	A
USGS	02296750	1986-04-14	200	A
USGS	02296750	1986-04-15	222	A
USGS	02296750	1986-04-16	206	A
USGS	02296750	1986-04-17	187	A
USGS	02296750	1986-04-18	173	A
USGS	02296750	1986-04-19	151	A
USGS	02296750	1986-04-20	152	A
USGS	02296750	1986-04-21	150	A
USGS	02296750	1986-04-22	158	A
USGS	02296750	1986-04-23	156	A
USGS	02296750	1986-04-24	152	A
USGS	02296750	1986-04-25	136	A
USGS	02296750	1986-04-26	125	A
USGS	02296750	1986-04-27	128	A
USGS	02296750	1986-04-28	115	A
USGS	02296750	1986-04-29	96.9	A
USGS	02296750	1986-04-30	88.4	A
USGS	02296750	1986-05-01	90.1	A
USGS	02296750	1986-05-02	88.4	A
USGS	02296750	1986-05-03	88.1	A
USGS	02296750	1986-05-04	87.5	A
USGS	02296750	1986-05-05	71.2	A
USGS	02296750	1986-05-06	71.7	A
USGS	02296750	1986-05-07	97.7	A
USGS	02296750	1986-05-08	92.9	A
USGS	02296750	1986-05-09	76.5	A
USGS	02296750	1986-05-10	73.8	A
USGS	02296750	1986-05-11	105	A
USGS	02296750	1986-05-12	103	A
USGS	02296750	1986-05-13	76.6	A
USGS	02296750	1986-05-14	68.9	A
USGS	02296750	1986-05-15	61.0	A
USGS	02296750	1986-05-16	52.0	A
USGS	02296750	1986-05-17	47.0	A
USGS	02296750	1986-05-18	43.0	A
