agency_cd	site_no	datetime	discharge	approval
USGS	02323500	1985-10-01	11100	A
USGS	02323500	1985-10-02	10700	A
USGS	02323500	1985-10-03	11000	A
USGS	02323500	1985-10-04	10900	A
USGS	02323500	1985-10-05	11000	A
USGS	02323500	1985-10-06	12100	A
USGS	02323500	1985-10-07	12100	A
USGS	02323500	1985-10-08	11500	A
USGS	02323500	1985-10-09	11300	A
USGS	02323500	1985-10-10	10600	A
USGS	02323500	1985-10-11	9750	A
USGS	02323500	1985-10-12	9280	A
USGS	02323500	1985-10-13	9080	A
USGS	02323500	1985-10-14	8940	A
USGS	02323500	1985-10-15	8730	A
USGS	02323500	1985-10-16	8680	A
USGS	02323500	1985-10-17	8820	A
USGS	02323500	1985-10-18	8970	A
USGS	02323500	1985-10-19	8880	A
USGS	02323500	1985-10-20	8570	A
USGS	02323500	1985-10-21	8340	A
USGS	02323500	1985-10-22	8190	A
USGS	02323500	1985-10-23	8010	A
USGS	02323500	1985-10-24	8100	A
USGS	02323500	1985-10-25	8300	A
USGS	02323500	1985-10-26	8050	A
USGS	02323500	1985-10-27	7330	A
USGS	02323500	1985-10-28	6990	A
USGS	02323500	1985-10-29	7270	A
USGS	02323500	1985-10-30	6590	A
USGS	02323500	1985-10-31	6000	A
USGS	02323500	1985-11-01	6310	A
USGS	02323500	1985-11-02	8630	A
USGS	02323500	1985-11-03	8370	A
USGS	02323500	1985-11-04	9840	A
USGS	02323500	1985-11-05	10700	A
USGS	02323500	1985-11-06	10500	A
USGS	02323500	1985-11-07	10200	A
USGS	02323500	1985-11-08	10600	A
USGS	02323500	1985-11-09	10200	A
USGS	02323500	1985-11-10	9670	A
USGS	02323500	1985-11-11	9750	A
USGS	02323500	1985-11-12	9540	A
USGS	02323500	1985-11-13	9270	A
USGS	02323500	1985-11-14	9220	A
USGS	02323500	1985-11-15	9040	A
USGS	02323500	1985-11-16	8930	A
USGS	02323500	1985-11-17	8750	A
USGS	02323500	1985-11-18	8760	A
USGS	02323500	1985-11-19	8990	A
USGS	02323500	1985-11-20	8040	A
USGS	02323500	1985-11-21	6500	A
USGS	02323500	1985-11-22	7410	A
USGS	02323500	1985-11-23	8720	A
USGS	02323500	1985-11-24	8180	A
USGS	02323500	1985-11-25	7900	A
USGS	02323500	1985-11-26	7720	A
USGS	02323500	1985-11-27	7810	A
USGS	02323500	1985-11-28	7760	A
USGS	02323500	1985-11-29	8350	A
USGS	02323500	1985-11-30	8900	A
USGS	02323500	1985-12-01	9140	A
USGS	02323500	1985-12-02	9920	A
USGS	02323500	1985-12-03	11600	A
USGS	02323500	1985-12-04	11400	A
USGS	02323500	1985-12-05	11400	A
USGS	02323500	1985-12-06	12500	A
USGS	02323500	1985-12-07	12600	A
USGS	02323500	1985-12-08	12000	A
USGS	02323500	1985-12-09	11800	A
USGS	02323500	1985-12-10	11800	A
USGS	02323500	1985-12-11	10800	A
USGS	02323500	1985-12-12	10300	A
USGS	02323500	1985-12-13	10200	A
USGS	02323500	1985-12-14	11000	A
USGS	02323500	1985-12-15	12600	A
USGS	02323500	1985-12-16	12600	A
USGS	02323500	1985-12-17	13200	A
USGS	02323500	1985-12-18	13800	A
USGS	02323500	1985-12-19	14600	A
USGS	02323500	1985-12-20	15200	A
USGS	02323500	1985-12-21	15400	A
USGS	02323500	1985-12-22	15700	A
USGS	02323500	1985-12-23	15300	A
USGS	02323500	1985-12-24	14600	A
USGS	02323500	1985-12-25	15100	A
USGS	02323500	1985-12-26	16600	A
USGS	02323500	1985-12-27	15900	A
USGS	02323500	1985-12-28	15600	A
USGS	02323500	1985-12-29	15300	A
USGS	02323500	1985-12-30	15600	A
USGS	02323500	1985-12-31	15200	A
USGS	02323500	1986-01-01	14600	A
USGS	02323500	1986-01-02	15000	A
USGS	02323500	1986-01-03	15000	A
USGS	02323500	1986-01-04	14800	A
USGS	02323500	1986-01-05	15100	A
USGS	02323500	1986-01-06	15900	A
USGS	02323500	1986-01-07	15500	A
USGS	02323500	1986-01-08	16300	A
USGS	02323500	1986-01-09	16800	A
USGS	02323500	1986-01-10	15600	A
USGS	02323500	1986-01-11	15800	A
USGS	02323500	1986-01-12	16600	A
USGS	02323500	1986-01-13	16700	A
USGS	02323500	1986-01-14	17500	A
USGS	02323500	1986-01-15	17600	A
USGS	02323500	1986-01-16	18200	A
USGS	02323500	1986-01-17	17800	A
USGS	02323500	1986-01-18	18200	A
USGS	02323500	1986-01-19	18700	A
USGS	02323500	1986-01-20	19000	A
USGS	02323500	1986-01-21	19100	A
USGS	02323500	1986-01-22	19200	A
USGS	02323500	1986-01-23	19300	A
USGS	02323500	1986-01-24	19400	A
USGS	02323500	1986-01-25	19300	A
USGS	02323500	1986-01-26	19300	A
USGS	02323500	1986-01-27	19100	A
USGS	02323500	1986-01-28	18700	A
USGS	02323500	1986-01-29	18400	A
USGS	02323500	1986-01-30	18200	A
USGS	02323500	1986-01-31	17800	A
USGS	02323500	1986-02-01	17800	A
USGS	02323500	1986-02-02	17600	A
USGS	02323500	1986-02-03	17400	A
USGS	02323500	1986-02-04	16800	A
USGS	02323500	1986-02-05	16100	A
USGS	02323500	1986-02-06	15900	A
USGS	02323500	1986-02-07	16000	A
USGS	02323500	1986-02-08	16400	A
USGS	02323500	1986-02-09	16900	A
USGS	02323500	1986-02-10	17300	A
USGS	02323500	1986-02-11	18100	A
USGS	02323500	1986-02-12	18900	A
USGS	02323500	1986-02-13	19700	A
USGS	02323500	1986-02-14	20800	A
USGS	02323500	1986-02-15	22100	A
USGS	02323500	1986-02-16	23300	A
USGS	02323500	1986-02-17	24500	A
USGS	02323500	1986-02-18	26100	A
USGS	02323500	1986-02-19	27900	A
USGS	02323500	1986-02-20	29800	A
USGS	02323500	1986-02-21	32000	A
USGS	02323500	1986-02-22	34400	A
USGS	02323500	1986-02-23	36900	A
USGS	02323500	1986-02-24	38900	A
USGS	02323500	1986-02-25	40400	A
USGS	02323500	1986-02-26	41100	A
USGS	02323500	1986-02-27	41300	A
USGS	02323500	1986-02-28	41000	A
USGS	02323500	1986-03-01	40200	A
USGS	02323500	1986-03-02	39200	A
USGS	02323500	1986-03-03	38100	A
USGS	02323500	1986-03-04	37100	A
USGS	02323500	1986-03-05	36100	A
USGS	02323500	1986-03-06	35000	A
USGS	02323500	1986-03-07	33900	A
USGS	02323500	1986-03-08	32900	A
USGS	02323500	1986-03-09	31900	A
USGS	02323500	1986-03-10	30900	A
USGS	02323500	1986-03-11	30100	A
USGS	02323500	1986-03-12	29200	A
USGS	02323500	1986-03-13	28300	A
USGS	02323500	1986-03-14	27700	A
USGS	02323500	1986-03-15	27200	A
USGS	02323500	1986-03-16	26500	A
USGS	02323500	1986-03-17	25700	A
USGS	02323500	1986-03-18	25100	A
USGS	02323500	1986-03-19	24700	A
USGS	02323500	1986-03-20	24500	A
USGS	02323500	1986-03-21	24400	A
