agency_cd	site_no	datetime	discharge	approval
USGS	02306647	1985-10-01	22.0	A
USGS	02306647	1985-10-02	23.0	A
USGS	02306647	1985-10-03	21.0	A
USGS	02306647	1985-10-04	19.0	A
USGS	02306647	1985-10-05	20.0	A
USGS	02306647	1985-10-06	23.0	A
USGS	02306647	1985-10-07	22.0	A
USGS	02306647	1985-10-08	21.0	A
USGS	02306647	1985-10-09	20.0	A
USGS	02306647	1985-10-10	19.0	A
USGS	02306647	1985-10-11	18.0	A
USGS	02306647	1985-10-12	18.0	A
USGS	02306647	1985-10-13	18.0	A
USGS	02306647	1985-10-14	17.0	A
USGS	02306647	1985-10-15	17.0	A
USGS	02306647	1985-10-16	17.0	A
USGS	02306647	1985-10-17	16.0	A
USGS	02306647	1985-10-18	16.0	A
USGS	02306647	1985-10-19	16.0	A
USGS	02306647	1985-10-20	17.0	A
USGS	02306647	1985-10-21	19.0	A
USGS	02306647	1985-10-22	21.0	A
USGS	02306647	1985-10-23	20.0	A
USGS	02306647	1985-10-24	20.0	A
USGS	02306647	1985-10-25	16.0	A
USGS	02306647	1985-10-26	8.70	A
USGS	02306647	1985-10-27	14.0	A
USGS	02306647	1985-10-28	11.0	A
USGS	02306647	1985-10-29	5.60	A
USGS	02306647	1985-10-30	6.30	A
USGS	02306647	1985-10-31	73.2	A
USGS	02306647	1985-11-01	63.6	A
USGS	02306647	1985-11-02	38.9	A
USGS	02306647	1985-11-03	26.7	A
USGS	02306647	1985-11-04	27.6	A
USGS	02306647	1985-11-05	19.4	A
USGS	02306647	1985-11-06	14.4	A
USGS	02306647	1985-11-07	11.5	A
USGS	02306647	1985-11-08	10.3	A
USGS	02306647	1985-11-09	9.90	A
USGS	02306647	1985-11-10	9.65	A
USGS	02306647	1985-11-11	9.40	A
USGS	02306647	1985-11-12	9.47	A
USGS	02306647	1985-11-13	10.1	A
USGS	02306647	1985-11-14	10.2	A
USGS	02306647	1985-11-15	9.25	A
USGS	02306647	1985-11-16	9.35	A
USGS	02306647	1985-11-17	9.50	A
USGS	02306647	1985-11-18	9.88	A
USGS	02306647	1985-11-19	23.2	A
USGS	02306647	1985-11-20	30.9	A
USGS	02306647	1985-11-21	25.3	A
USGS	02306647	1985-11-22	20.3	A
USGS	02306647	1985-11-23	15.3	A
USGS	02306647	1985-11-24	12.1	A
USGS	02306647	1985-11-25	10.5	A
USGS	02306647	1985-11-26	9.85	A
USGS	02306647	1985-11-27	9.07	A
USGS	02306647	1985-11-28	9.89	A
USGS	02306647	1985-11-29	9.89	A
USGS	02306647	1985-11-30	8.84	A
USGS	02306647	1985-12-01	8.39	A
USGS	02306647	1985-12-02	6.73	A
USGS	02306647	1985-12-03	5.87	A
USGS	02306647	1985-12-04	5.60	A
USGS	02306647	1985-12-05	5.61	A
USGS	02306647	1985-12-06	5.97	A
USGS	02306647	1985-12-07	5.98	A
USGS	02306647	1985-12-08	5.61	A
USGS	02306647	1985-12-09	5.68	A
USGS	02306647	1985-12-10	6.29	A
USGS	02306647	1985-12-11	6.30	A
USGS	02306647	1985-12-12	6.42	A
USGS	02306647	1985-12-13	7.94	A
USGS	02306647	1985-12-14	19.6	A
USGS	02306647	1985-12-15	10.7	A
USGS	02306647	1985-12-16	8.43	A
USGS	02306647	1985-12-17	7.76	A
USGS	02306647	1985-12-18	7.15	A
USGS	02306647	1985-12-19	6.58	A
USGS	02306647	1985-12-20	6.02	A
USGS	02306647	1985-12-21	5.60	A
USGS	02306647	1985-12-22	5.33	A
USGS	02306647	1985-12-23	5.00	A
USGS	02306647	1985-12-24	4.77	A
USGS	02306647	1985-12-25	4.88	A
USGS	02306647	1985-12-26	4.60	A
USGS	02306647	1985-12-27	4.18	A
USGS	02306647	1985-12-28	3.90	A
USGS	02306647	1985-12-29	3.82	A
USGS	02306647	1985-12-30	3.81	A
USGS	02306647	1985-12-31	3.86	A
USGS	02306647	1986-01-01	28.5	A
USGS	02306647	1986-01-02	20.6	A
USGS	02306647	1986-01-03	12.8	A
USGS	02306647	1986-01-04	10.1	A
USGS	02306647	1986-01-05	9.12	A
USGS	02306647	1986-01-06	8.44	A
USGS	02306647	1986-01-07	8.10	A
USGS	02306647	1986-01-08	8.89	A
USGS	02306647	1986-01-09	8.44	A
USGS	02306647	1986-01-10	21.5	A
USGS	02306647	1986-01-11	26.5	A
USGS	02306647	1986-01-12	16.0	A
USGS	02306647	1986-01-13	12.6	A
USGS	02306647	1986-01-14	10.4	A
USGS	02306647	1986-01-15	9.14	A
USGS	02306647	1986-01-16	8.30	A
USGS	02306647	1986-01-17	7.78	A
USGS	02306647	1986-01-18	7.28	A
USGS	02306647	1986-01-19	7.58	A
USGS	02306647	1986-01-20	7.30	A
USGS	02306647	1986-01-21	6.58	A
USGS	02306647	1986-01-22	6.30	A
USGS	02306647	1986-01-23	6.38	A
USGS	02306647	1986-01-24	6.82	A
USGS	02306647	1986-01-25	7.21	A
USGS	02306647	1986-01-26	11.3	A
USGS	02306647	1986-01-27	10.8	A
USGS	02306647	1986-01-28	7.75	A
USGS	02306647	1986-01-29	6.60	A
USGS	02306647	1986-01-30	5.99	A
USGS	02306647	1986-01-31	5.25	A
USGS	02306647	1986-02-01	4.69	A
USGS	02306647	1986-02-02	4.40	A
USGS	02306647	1986-02-03	4.40	A
USGS	02306647	1986-02-04	4.40	A
USGS	02306647	1986-02-05	4.40	A
USGS	02306647	1986-02-06	4.16	A
USGS	02306647	1986-02-07	3.90	A
USGS	02306647	1986-02-08	19.2	A
USGS	02306647	1986-02-09	31.2	A
USGS	02306647	1986-02-10	16.3	A
USGS	02306647	1986-02-11	20.7	A
USGS	02306647	1986-02-12	20.0	A
USGS	02306647	1986-02-13	12.6	A
USGS	02306647	1986-02-14	9.13	A
USGS	02306647	1986-02-15	7.34	A
USGS	02306647	1986-02-16	6.71	A
USGS	02306647	1986-02-17	5.79	A
USGS	02306647	1986-02-18	9.75	A
